#TYPE System.Object
"Size","LicenseType","VirtualMachineId","OsType","OsName","OsVersion","Location","Name","ResourceType","SubscriptionName","ResourceGroupName","SubscriptionId","OsEdition","PrivateIpAddress"
"Standard_A2_v2",,"/subscriptions/7bda4c8b-66bd-4455-99c9-0b346798a2e7/resourceGroups/JL-SQLMI-DEMO-RG/providers/Microsoft.Compute/virtualMachines/jl-sql2008r2-vm","Windows","SQL2008R2SP3-WS2008R2SP1","latest","eastus","jl-sql2008r2-vm","Microsoft.Compute/virtualMachines","Jacek Lyzwa - Microsoft Azure Internal Consumption","JL-SQLMI-DEMO-RG","7bda4c8b-66bd-4455-99c9-0b346798a2e7","Enterprise","10.0.1.5"
"Standard_B4ms",,"/subscriptions/7bda4c8b-66bd-4455-99c9-0b346798a2e7/resourceGroups/JL-SQLMI-DEMO-RG/providers/Microsoft.Compute/virtualMachines/jl-sql2017-vm","Windows","SQL2017-WS2016","latest","eastus","jl-sql2017-vm","Microsoft.Compute/virtualMachines","Jacek Lyzwa - Microsoft Azure Internal Consumption","JL-SQLMI-DEMO-RG","7bda4c8b-66bd-4455-99c9-0b346798a2e7","SQLDEV","10.0.1.7"
"Standard_B2s",,"/subscriptions/7bda4c8b-66bd-4455-99c9-0b346798a2e7/resourceGroups/JL-SQLMI-DEMO-RG/providers/Microsoft.Compute/virtualMachines/jl-sqlmi-demoJB","Windows","WindowsServer","latest","eastus","jl-sqlmi-demoJB","Microsoft.Compute/virtualMachines","Jacek Lyzwa - Microsoft Azure Internal Consumption","JL-SQLMI-DEMO-RG","7bda4c8b-66bd-4455-99c9-0b346798a2e7","2016-Datacenter","10.0.1.4"
"Standard_B2s",,"/subscriptions/7bda4c8b-66bd-4455-99c9-0b346798a2e7/resourceGroups/CALL-DEMO-RG/providers/Microsoft.Compute/virtualMachines/call-demo-vm","Windows","WindowsServer","latest","eastus2","call-demo-vm","Microsoft.Compute/virtualMachines","Jacek Lyzwa - Microsoft Azure Internal Consumption","CALL-DEMO-RG","7bda4c8b-66bd-4455-99c9-0b346798a2e7","2016-Datacenter","10.1.2.4"
"Standard_D2","Windows_Client","/subscriptions/7bda4c8b-66bd-4455-99c9-0b346798a2e7/resourceGroups/JL-HDINSIGHT-DEMO/providers/Microsoft.Compute/virtualMachines/jl-presto-dev","Windows","Windows-10","latest","eastus2","jl-presto-dev","Microsoft.Compute/virtualMachines","Jacek Lyzwa - Microsoft Azure Internal Consumption","JL-HDINSIGHT-DEMO","7bda4c8b-66bd-4455-99c9-0b346798a2e7","rs5-pro","10.2.0.24"
"Standard_DS12",,"/subscriptions/7bda4c8b-66bd-4455-99c9-0b346798a2e7/resourceGroups/JL-PBRS-RG/providers/Microsoft.Compute/virtualMachines/DC","Windows","WindowsServer","latest","eastus2","DC","Microsoft.Compute/virtualMachines","Jacek Lyzwa - Microsoft Azure Internal Consumption","JL-PBRS-RG","7bda4c8b-66bd-4455-99c9-0b346798a2e7","2012-R2-Datacenter","10.0.0.4"
"Standard_DS1_v2",,"/subscriptions/7bda4c8b-66bd-4455-99c9-0b346798a2e7/resourceGroups/JL-SQLMI2-RG/providers/Microsoft.Compute/virtualMachines/ssrs2008test-vm","Windows","WindowsServer","latest","eastus2","ssrs2008test-vm","Microsoft.Compute/virtualMachines","Jacek Lyzwa - Microsoft Azure Internal Consumption","JL-SQLMI2-RG","7bda4c8b-66bd-4455-99c9-0b346798a2e7","2016-Datacenter","10.0.1.4"
"Standard_DS2_v2",,"/subscriptions/7bda4c8b-66bd-4455-99c9-0b346798a2e7/resourceGroups/JL-SQLVM-RG/providers/Microsoft.Compute/virtualMachines/jl-sqlcustom-vm","Windows","WindowsServer","latest","eastus2","jl-sqlcustom-vm","Microsoft.Compute/virtualMachines","Jacek Lyzwa - Microsoft Azure Internal Consumption","JL-SQLVM-RG","7bda4c8b-66bd-4455-99c9-0b346798a2e7","2019-Datacenter","10.1.1.4"
"Standard_D2s_v3",,"/subscriptions/97227f43-3143-4d5f-921c-bc9de25314e2/resourceGroups/ASI-RG/providers/Microsoft.Compute/virtualMachines/sentinelagent1","Linux","UbuntuServer","latest","eastus","sentinelagent1","Microsoft.Compute/virtualMachines","MSUS Security Conversations","ASI-RG","97227f43-3143-4d5f-921c-bc9de25314e2","16.04.0-LTS","10.0.0.4"
"Standard_D2s_v3",,"/subscriptions/97227f43-3143-4d5f-921c-bc9de25314e2/resourceGroups/ASI-RG/providers/Microsoft.Compute/virtualMachines/SyslogAgent2","Linux","UbuntuServer","latest","eastus","SyslogAgent2","Microsoft.Compute/virtualMachines","MSUS Security Conversations","ASI-RG","97227f43-3143-4d5f-921c-bc9de25314e2","16.04.0-LTS","10.0.0.4"
