#TYPE System.Object
"Name","NumberOfCores"
"Standard_B1ls","1"
"Standard_B1ms","1"
"Standard_B1s","1"
"Standard_B2s","2"
"Standard_B4ms","4"
"Standard_DS1_v2","1"
"Standard_DS2_v2","2"
"Standard_F4s","4"
"Standard_D2s_v3","2"
"Standard_D4s_v3","4"
"Standard_D2_v2","2"
"Standard_A2_v2","2"
"Standard_D2_v3","2"
"Standard_D2","2"
"Standard_F2s_v2","2"
"Standard_DS12","4"
"Standard_B1ls","1"
"Standard_B1ms","1"
"Standard_B1s","1"
"Standard_B2s","2"
"Standard_B4ms","4"
"Standard_D2_v2","2"
"Standard_DS1_v2","1"
"Standard_DS2_v2","2"
"Standard_F4s","4"
"Standard_A2_v2","2"
"Standard_D2_v3","2"
"Standard_D2s_v3","2"
"Standard_D4s_v3","4"
"Standard_F2s_v2","2"
"Standard_D2","2"
"Standard_DS12","4"
"Standard_B1ls","1"
"Standard_B1ms","1"
"Standard_B1s","1"
"Standard_B2s","2"
"Standard_B4ms","4"
"Standard_DS1_v2","1"
"Standard_DS2_v2","2"
"Standard_F4s","4"
"Standard_D2s_v3","2"
"Standard_D4s_v3","4"
"Standard_D2_v2","2"
"Standard_A2_v2","2"
"Standard_D2_v3","2"
"Standard_D2","2"
"Standard_DS12","4"
"Standard_F2s_v2","2"
"Standard_D2_v2","2"
"Standard_A2_v2","2"
"Standard_DS12","4"
"Standard_D2_v3","2"
"Standard_D2","2"
"Standard_B1ls","1"
"Standard_B1ms","1"
"Standard_B1s","1"
"Standard_B2s","2"
"Standard_B4ms","4"
"Standard_DS1_v2","1"
"Standard_DS2_v2","2"
"Standard_F4s","4"
"Standard_D2s_v3","2"
"Standard_D4s_v3","4"
"Standard_F2s_v2","2"
"Standard_B1ls","1"
"Standard_B1ms","1"
"Standard_B1s","1"
"Standard_B2s","2"
"Standard_B4ms","4"
"Standard_D2_v2","2"
"Standard_DS1_v2","1"
"Standard_DS2_v2","2"
"Standard_F4s","4"
"Standard_A2_v2","2"
"Standard_D2_v3","2"
"Standard_D2s_v3","2"
"Standard_D4s_v3","4"
"Standard_D2","2"
"Standard_DS12","4"
"Standard_F2s_v2","2"
"Standard_F2s_v2","2"
"Standard_B1ls","1"
"Standard_B1ms","1"
"Standard_B1s","1"
"Standard_B2s","2"
"Standard_B4ms","4"
"Standard_D2_v2","2"
"Standard_DS1_v2","1"
"Standard_DS2_v2","2"
"Standard_F4s","4"
"Standard_A2_v2","2"
"Standard_D2_v3","2"
"Standard_D2s_v3","2"
"Standard_D4s_v3","4"
"Standard_B1ls","1"
"Standard_B1ms","1"
"Standard_B1s","1"
"Standard_B2s","2"
"Standard_B4ms","4"
"Standard_D2_v2","2"
"Standard_DS1_v2","1"
"Standard_DS2_v2","2"
"Standard_F4s","4"
"Standard_A2_v2","2"
"Standard_D2_v3","2"
"Standard_D2s_v3","2"
"Standard_D4s_v3","4"
"Standard_D2","2"
"Standard_DS12","4"
"Standard_F2s_v2","2"
"Standard_B1ls","1"
"Standard_B1ms","1"
"Standard_B1s","1"
"Standard_B2s","2"
"Standard_B4ms","4"
"Standard_DS1_v2","1"
"Standard_DS2_v2","2"
"Standard_F4s","4"
"Standard_D2s_v3","2"
"Standard_D4s_v3","4"
"Standard_D2_v2","2"
"Standard_A2_v2","2"
"Standard_D2_v3","2"
"Standard_D2","2"
"Standard_DS12","4"
"Standard_F2s_v2","2"
"Standard_B1ls","1"
"Standard_B1ms","1"
"Standard_B1s","1"
"Standard_B2s","2"
"Standard_B4ms","4"
